"size";"time";"n";"workers";"host"
256;0.00222274322509766;5000;6;"Apple M1"
8;0.0398580309867859;5000;6;"Apple M1"
16;0.0201201548099518;5000;6;"Apple M1"
32;0.0102873182296753;5000;6;"Apple M1"
64;0.00564712538719177;5000;6;"Apple M1"
128;0.00302453360557556;5000;6;"Apple M1"
256;0.00206989898681641;5000;6;"Apple M1"
8;0.040344162607193;5000;6;"Apple M1"
16;0.0202392106056213;5000;6;"Apple M1"
32;0.0103631891727448;5000;6;"Apple M1"
64;0.00555057997703552;5000;6;"Apple M1"
128;0.00288133840560913;5000;6;"Apple M1"
256;0.00197903480529785;5000;6;"Apple M1"
8;0.0402571624279022;5000;6;"Apple M1"
16;0.0203702754020691;5000;6;"Apple M1"
32;0.0106870545864105;5000;6;"Apple M1"
64;0.00567038078308105;5000;6;"Apple M1"
128;0.00308184361457825;5000;6;"Apple M1"
256;0.00206170558929443;5000;6;"Apple M1"
8;0.0395671822071075;10000;6;"Apple M1"
16;0.0176848371982574;10000;6;"Apple M1"
32;0.00911385939121246;10000;6;"Apple M1"
64;0.00476919901371002;10000;6;"Apple M1"
128;0.00246943991184235;10000;6;"Apple M1"
256;0.00148262321949005;10000;6;"Apple M1"
8;0.086325526714325;10000;6;"Apple M1"
16;0.0402340523958206;10000;6;"Apple M1"
32;0.0250065807104111;10000;6;"Apple M1"
64;0.0119725131988525;10000;6;"Apple M1"
128;0.00798164360523224;10000;6;"Apple M1"
256;0.00162694659233093;10000;6;"Apple M1"
8;0.0375221777200699;10000;6;"Apple M1"
16;0.0179610996007919;10000;6;"Apple M1"
32;0.010393852186203;10000;6;"Apple M1"
64;0.00516770150661469;10000;6;"Apple M1"
128;0.00266687209606171;10000;6;"Apple M1"
256;0.00156236610412598;10000;6;"Apple M1"
8;0.037632976603508;10000;6;"Apple M1"
16;0.0187464149951935;10000;6;"Apple M1"
32;0.00984038691520691;10000;6;"Apple M1"
64;0.00514732069969177;10000;6;"Apple M1"
128;0.00260265498161316;10000;6;"Apple M1"
256;0.00170940899848938;10000;6;"Apple M1"
8;0.0377674089193344;10000;6;"Apple M1"
16;0.0188331967115402;10000;6;"Apple M1"
32;0.00909186248779297;10000;6;"Apple M1"
64;0.00485358459949493;10000;6;"Apple M1"
128;0.00263197090625763;10000;6;"Apple M1"
256;0.00159291439056396;10000;6;"Apple M1"
8;0.0361639488935471;10000;6;"Apple M1"
16;0.0178809698104858;10000;6;"Apple M1"
32;0.00894574689865112;10000;6;"Apple M1"
64;0.00459556839466095;10000;6;"Apple M1"
128;0.00261214680671692;10000;6;"Apple M1"
256;0.00156791319847107;10000;6;"Apple M1"
